Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1,Sex of Casualty 1,Age of Casualty 1,Type of Vehicle 2,Casualty Class 2,Casualty Severity 2,Sex of Casualty 2,Age of Casualty 2,Type of Vehicle 3,Casualty Class 3,Casualty Severity 3,Sex of Casualty 3,Age of Casualty 3,Type of Vehicle 4,Casualty Class 4,Casualty Severity 4,Sex of Casualty 4,Age of Casualty 4
6610845,392601,423158,2,6/1/2019,13:06,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,49,Car,Driver or rider,Slight,Female,41,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6631452,407526,429361,2,6/3/2019,17:45,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Serious,Male,28,Car,Driver or rider,Slight,Female,31,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
6651825,411603,420725,2,6/5/2019,21:15,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,24,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known
66A1052,408594,425566,2,6/10/2019,15:07,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,73,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
66B0274,411397,419619,2,6/11/2019,8:15,Motorway,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 7.5 tonnes mgw and over,Driver or rider,Slight,Male,47,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
66B0368,410873,419624,2,6/11/2019,9:33,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,32,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
66C0400,408056,428486,2,6/2/2019,12,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,12,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
66C1831,408020,424658,2,6/12/2019,22:26,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Female,25,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
66E0667,412100,428194,2,6/14/2019,12:02,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,30,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known
66H0297,403680,419488,2,6/16/2019,19:05,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,18,Car,not known,not known,not known,not known,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA
